ID,Sector,LastPage,SmokedIn30Days,Extraverted,Critical,Dependable,Anxious,OpenExp,Reserved,Sympathetic,Disorganized,Calm,Conventional,DifficultRefrain,CigsPerDay,SmokeMoreEarly,SmokeWhileIll,TimeToFirstCig,HateToGiveUp,FirstCigAge,SmokingChangePostCrisis,AffordFavoriteBrand,SwitchedBrandPostCrisis,Gender,Age,Governorate,EducationLevel,CurrentEmploymentStatus,MaritalStatus,CloseFriends,NumSmokerFriends,MainIncomeSource,HouseholdIncomeType,MonthlyIncome,IncomeSufficiency,HouseholdSize,FinancialImpact,ExerciseFreq,SocialMediaHours,StressFreq,EmploymentStatusGeneral
281,0,5,0,3,4,0,0,0,6,0,1,4,5,1,1,0,1,1,0,17,1,1,0,0,21,4,0,2,3,1,3,4,2,5,3,2,4,1,1,1,1
283,0,5,0,2,5,2,0,1,3,1,5,6,5,0,0,0,0,2,0,20,2,0,2,0,28,2,1,1,3,1,2,1,2,7,3,2,4,2,2,1,0
285,0,5,0,3,0,6,5,2,2,3,4,2,5,0,0,0,0,2,1,23,1,1,0,1,24,6,4,1,3,1,1,3,0,0,3,2,3,2,0,4,1
286,0,5,0,0,0,5,2,2,0,0,2,5,5,0,1,1,0,3,1,16,1,1,2,1,19,0,2,2,3,0,0,4,2,7,1,5,3,2,1,0,1
289,0,5,0,1,1,2,4,2,3,2,0,4,5,0,1,0,0,0,0,16,2,1,0,1,21,2,3,2,3,1,4,4,2,3,3,4,1,3,2,3,1
290,0,5,0,1,5,6,1,2,5,1,0,5,4,0,1,0,1,3,0,14,2,1,0,1,20,0,3,2,3,1,3,4,2,6,1,5,1,3,4,1,1
291,0,5,0,1,0,1,2,2,6,2,0,3,6,1,0,0,0,2,0,18,1,1,0,0,21,0,3,2,3,1,3,4,2,5,3,5,4,0,4,0,1
293,0,5,0,0,3,3,1,4,4,1,1,4,1,0,0,0,0,0,0,15,2,1,0,1,21,0,4,2,3,1,5,4,3,7,2,3,4,1,1,1,1
295,0,5,0,2,3,2,5,2,5,2,0,3,5,0,0,0,0,2,0,20,2,1,0,1,24,0,4,3,3,1,1,4,0,0,4,4,4,3,1,1,0
297,0,5,0,5,3,4,5,4,3,4,4,0,5,0,0,1,0,0,0,22,1,0,2,1,21,0,0,3,3,1,5,4,0,4,2,3,1,3,0,3,0
298,0,5,0,3,0,4,1,1,0,6,0,3,4,1,1,1,1,1,1,17,1,0,2,0,22,0,0,3,3,1,5,4,0,1,2,5,4,1,1,3,0
299,0,5,0,3,5,4,1,2,3,6,0,3,5,1,2,1,1,1,1,16,1,1,0,1,21,0,3,2,3,1,4,4,1,6,1,4,2,1,1,1,1
300,0,5,0,0,3,2,4,0,0,0,5,2,0,0,1,0,0,2,0,20,2,1,0,1,22,0,0,3,3,1,2,4,2,6,3,5,1,2,0,4,0
301,0,5,0,4,0,4,1,2,1,1,0,3,5,1,2,1,1,1,1,18,1,1,0,1,21,0,3,2,3,1,5,4,1,6,1,5,2,1,1,3,1
302,0,5,0,0,0,3,1,0,4,0,0,4,4,1,2,1,0,1,1,18,1,0,0,0,22,0,0,3,3,1,4,1,0,4,2,5,4,1,1,1,0
303,0,5,0,2,3,2,5,3,4,1,5,2,6,0,1,0,0,0,0,20,2,0,0,1,23,0,0,3,0,1,3,1,1,6,1,5,1,2,0,4,0
304,0,5,0,4,0,3,0,1,0,0,0,3,5,0,2,1,1,1,1,18,1,1,0,1,20,0,3,2,3,1,4,4,2,6,1,4,1,1,1,1,1
305,0,5,0,4,1,1,1,2,0,0,0,4,4,1,3,1,1,3,1,17,1,1,0,0,21,0,3,2,3,1,5,4,1,6,1,4,3,3,1,1,1
306,0,5,0,3,0,3,0,1,6,2,0,0,4,1,2,1,0,1,1,18,1,0,2,0,20,0,3,2,3,1,4,4,2,2,2,5,4,3,1,1,1
307,0,5,0,1,3,1,0,1,4,6,4,1,3,0,2,1,0,3,1,19,1,1,0,0,20,0,3,2,3,1,2,4,0,6,3,6,3,3,1,3,1
308,0,5,0,4,4,1,0,1,3,1,4,0,1,0,1,1,0,0,0,19,1,0,2,1,21,0,0,3,3,1,3,4,2,2,3,3,1,2,1,1,0
309,0,5,0,3,5,0,1,1,0,1,3,3,4,1,2,1,0,1,1,19,2,1,0,0,20,0,3,2,3,1,4,4,2,6,1,4,3,1,1,3,1
310,0,5,0,4,1,4,1,2,0,3,6,0,5,1,3,1,1,3,1,16,1,1,0,0,21,0,0,2,3,1,5,4,1,6,1,4,3,1,2,1,1
311,0,5,0,5,0,0,1,2,0,1,4,1,4,1,2,0,1,3,1,17,1,0,2,0,20,0,3,2,2,1,5,4,0,2,2,5,4,1,1,3,1
